22;Nit - meki uvez; Victoria Hislop;133
50;Vise nego normalno; Dale Archer;121
39;Rajske ptice - meki uvez; Neven Usumovic;126
110;Djevojke koje sjaje; Lauren Beukes;157
120;Kako rade strojevi - tvrdi uvez; Nick Arnold;19
215;Zivot i alkemija kristala; Vesna Ivanovic;46
17;Stres u razredu; Brigitte Trankiem;127
144;Umijece utjecanja; Kevin Hogan;145
9;Pedeset nijansi mracniji - meki uvez ; E. L. James;159
42;Tunis-vodici;  Dorling Kindersley;174
101;Pedeset pulastri; Albino Crnobori;88
159;Nemojte - za muzeve; Blanche Ebbutt;66
82;Zenski mozak - kiosk izdanje; Louann Brizendine;106
61;Zora ljubavnika; Louis Gardel;155
102;1001 savjet kako postati bolji vrtlar; Pippa Greenwood;22
201;Okajani grijesi; Kate Mitchell;143
48;Dnevnicki zapisi; Ernesto Che Guevara;29
129;Oboji svijet; Antonija Balic Simrak;41
147;Modrobradi; Kurt Vonnegut;132
89;Dijeta za bonkulovice... i druga spiza; Zlatko Gall;101
128;Kisni paviljon; Vikram Seth;123
225;Kako se dobro posvadati; Ljubica Uvodic Vranic;21
199;Razvoj vaseg djeteta; Miriam Stoppard;25
131;Tatine curice - meki uvez; Jelena Popovic Volaric;157
137;Bageri i kamioni; Mandy Archer;63
219;P.S. Volim te; Cecelia Ahem;133
236;Knjiga o kalendarima; Zvonimir Sikic;165
241;Dijete od rodenja do cetvrte godine;  Skupina autora;40
234;Bijele vrane; Tatjana Gromaca;73
115;Hotel zagorje - kiosk; Ivana Bodrozic Simic;68
86;Unutarnja luka - kiosk; Nora Roberts;132
174;Vojnik - tvrdi uvez; Yossi Peled;38
244;Atlas mora i oceana; John Woodward;113
134;Kuca lutaka s naljepnicama; Ina Hattenhauer;118
79;Svasta iz bontona; Jasna Kretic Majer;75
96;Najzdravije namirnice svijeta; George Mateljan;48
114;Igre moXYalice; Jackie Silberg;50
87;Crne rupe i ostala cuda svemira; Alex Barnett;59
33;Jesen; Zlatko Gall;125
34;Za sto sam se spremna potuci; Ivana Simic Bodrozic;63
140;Vrazji nakot; Bora Cosic;111
150;IXYubljeni svjetovi; John Howe;51
